Nom de la région;Code département;Nom de la commune;Population totale
Nom de la région;Code département;Nom de la commune;Population totale
Auvergne-Rhône-Alpes;01;Bourg-en-Bresse;43454
Hauts-de-France;02;Laon;26031
Hauts-de-France;02;Saint-Quentin;55940
Hauts-de-France;02;Soissons;29417
Auvergne-Rhône-Alpes;03;Montluçon;37417
Provence-Alpes-Côted'Azur;05;Gap;42567
Provence-Alpes-Côted'Azur;06;Antibes;74982
Provence-Alpes-Côted'Azur;06;Cagnes-sur-Mer;50385
Provence-Alpes-Côted'Azur;06;Cannes;75046
Provence-Alpes-Côted'Azur;06;LeCannet;42056
Provence-Alpes-Côted'Azur;06;Grasse;51705
Provence-Alpes-Côted'Azur;06;Menton;28942
Provence-Alpes-Côted'Azur;06;Nice;345998
Provence-Alpes-Côted'Azur;06;Saint-Laurent-du-Var;28831
Provence-Alpes-Côted'Azur;06;Vallauris;26787
GrandEst;08;Charleville-Mézières;48420
GrandEst;10;Troyes;61988
Occitanie;11;Carcassonne;47418
Occitanie;11;Narbonne;55001
Occitanie;12;Rodez;25747
Provence-Alpes-Côted'Azur;13;Aix-en-Provence;146385
Provence-Alpes-Côted'Azur;13;Arles;53807
Provence-Alpes-Côted'Azur;13;Aubagne;45711
Provence-Alpes-Côted'Azur;13;LaCiotat;35758
Provence-Alpes-Côted'Azur;13;Istres;44248
Provence-Alpes-Côted'Azur;13;Marignane;33949
Provence-Alpes-Côted'Azur;13;Marseille;870018
Provence-Alpes-Côted'Azur;13;Martigues;49310
Provence-Alpes-Côted'Azur;13;Miramas;26217
Provence-Alpes-Côted'Azur;13;Salon-de-Provence;46225
Provence-Alpes-Côted'Azur;13;Vitrolles;34301
Normandie;14;Caen;108461
Auvergne-Rhône-Alpes;15;Aurillac;27659
Nouvelle-Aquitaine;16;Angoulême;44629
Nouvelle-Aquitaine;17;LaRochelle;78623
Nouvelle-Aquitaine;17;Saintes;26890
Centre-ValdeLoire;18;Bourges;67841
Centre-ValdeLoire;18;Vierzon;27036
Nouvelle-Aquitaine;19;Brive-la-Gaillarde;48333
Corse;2A;Ajaccio;70063
Corse;2B;Bastia;45596
